,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
71,72,3,0.9,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,1.2622969150543213,0.0004982948303222656,2.1457672119140625e-05,5.4836273193359375e-06,8.344650268554688e-06,4,5,7,2,5
72,73,3,0.9,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.7963991165161133,0.0004343986511230469,2.1696090698242188e-05,5.245208740234375e-06,7.867813110351562e-06,4,5,7,2,5
73,74,3,0.9,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1732678413391113,0.0004596710205078125,1.8596649169921875e-05,5.4836273193359375e-06,9.059906005859375e-06,4,8,10,5,5
74,75,3,0.9,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,0.9782233238220215,0.0004322528839111328,1.7404556274414062e-05,5.245208740234375e-06,7.62939453125e-06,4,5,7,2,5
75,76,3,0.9,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1418135166168213,0.0004634857177734375,2.0503997802734375e-05,5.245208740234375e-06,8.58306884765625e-06,4,8,10,5,5
76,77,3,0.9,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.7908227443695068,0.00045561790466308594,2.0265579223632812e-05,5.4836273193359375e-06,9.298324584960938e-06,4,8,10,5,5
77,78,3,0.9,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.164280891418457,0.0004544258117675781,1.9311904907226562e-05,5.245208740234375e-06,8.344650268554688e-06,4,8,10,5,5
78,79,3,0.9,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.9741113185882568,0.0004665851593017578,1.9311904907226562e-05,5.245208740234375e-06,8.58306884765625e-06,4,8,10,5,5
79,80,3,0.9,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,1.0019330978393555,0.0004329681396484375,1.8596649169921875e-05,5.0067901611328125e-06,7.867813110351562e-06,4,5,7,2,5
80,81,4,0.2,2,2,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",2,True,None,1.5742151737213135,0.0014145374298095703,2.3126602172851562e-05,5.9604644775390625e-06,7.3909759521484375e-06,6,12,21,6,15
81,82,4,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.4873664379119873,0.0012617111206054688,2.3365020751953125e-05,5.9604644775390625e-06,1.1205673217773438e-05,9,34,60,22,38
82,83,4,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.4985957145690918,0.0011441707611083984,2.288818359375e-05,5.7220458984375e-06,9.775161743164062e-06,9,34,60,22,38
83,84,4,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.6219027042388916,0.0011553764343261719,2.3603439331054688e-05,5.7220458984375e-06,1.0013580322265625e-05,9,34,60,22,38
84,85,4,0.2,2,2,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",2,True,None,1.913804531097412,0.0016181468963623047,2.3126602172851562e-05,6.67572021484375e-06,1.2159347534179688e-05,6,23,29,14,15
85,86,4,0.2,2,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,True,None,1.6285455226898193,0.0011966228485107422,2.5033950805664062e-05,6.198883056640625e-06,8.106231689453125e-06,7,22,31,10,21
86,87,4,0.2,2,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,True,None,1.657832384109497,0.0013942718505859375,2.09808349609375e-05,5.0067901611328125e-06,3.337860107421875e-06,7,13,33,8,25
